Issue Name Contains - SemRush,Issue Type - SemRush,Issue category - SemRush,Issue description - SemRush,How to fix - SemRush,Issue Name - ScreamingFrog,Issue Type - ScreamingFrog,Issue Priority - ScreamingFrog,Description ScreamingFrog,How To Fix - ScreamingFrog,sf_config_file,sf_export_tabs
Nofollow attributes in internal links,Warnings,"Links, Crawlability","The rel=""nofollow"" attribute is an element in an <a> tag that tells crawlers not to follow the link (e.g., ""<a href=""http://example.com/link"" rel=""nofollow"">Nofollow link example</a>"").""Nofollow"" links don’t pass any link juice to referred webpages. That’s why it is not recommended that you use nofollow attributes in internal links. You should let link juice flow freely throughout your website. Moreover, unintentional use of nofollow attributes may result in your webpage being ignored by search engine crawlers even if it contains a valuable content.","Make sure not to use nofollow attributes by mistake. Remove them from <a> tags, if necessary.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Meta Description: Multiple,Issue,Medium,Pages which have multiple meta descriptions. There should only be a single meta description for each page. Multiple meta descriptions are often caused by multiple conflicting plugins or modules in CMS.,"Remove the additional meta description tags from the pages HTML, ensuring the website has a single, concise and descriptive meta description for important pages.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Meta Description: Outside <head>,Issue,Medium,"Pages with a meta description that is outside of the <head> element in the HTML. The meta description should be within the <head> element, or search engines may ignore it.",Ensure meta descriptions are in the <head> element of a page's HTML so that search engines can choose to use them for their search engine result page snippets.,default_config.seospiderconfig,Internal:All
Missing meta description,Warnings,"Meta tags, Indexability","Though meta descriptions don't have a direct influence on rankings, they are used by search engines to display your page's description in search results. A good description helps users know what your page is about and encourages them to click on it. If your page's meta description tag is missing, search engines will usually display its first sentence, which may be irrelevant and unappealing to users.
For more information, please see these articles: Create good titles and snippets in Search Results and On-Page SEO Basics: Meta Descriptions","In order to gain a higher click-through rate, you should ensure that all of your webpages have meta descriptions that contain relevant keywords.",Meta Description: Missing,Opportunity,Low,"Pages which have a missing meta description, the content is empty or has a whitespace. This is a missed opportunity to communicate the benefits of your product or service and influence click through rates for important URLs.","It's important to write unique and descriptive meta descriptions on key pages to communicate the purpose of the page to users, and entice them to click on your result over the competition. It can also mean Google use this description for snippets in the search results for some queries, rather than make up their own based upon the content of the page.",default_config.seospiderconfig,Internal:All
Duplicate meta descriptions,Error,"Meta tags, Duplicates, Indexability","Our crawler reports pages that have duplicate meta descriptions only if they are exact matches.
A <meta description> tag is a short summary of a webpage's content that helps search engines understand what the page is about and can be shown to users in search results.
Duplicate meta descriptions on different pages mean a lost opportunity to use more relevant keywords. Also, duplicate meta descriptions make it difficult for search engines and users to differentiate between different webpages. It is better to have no meta description at all than to have a duplicate one.","Provide a unique, relevant meta description for each of your webpages.
Follow the On-Page SEO Basics: Meta Descriptions article - https://www.semrush.com/blog/on-page-seo-basics-meta-descriptions/",Meta Description: Duplicate,Opportunity,Low,"Pages which have duplicate meta descriptions. It's really important to have distinct and unique meta descriptions that communicate the benefits and purpose of each page. If they are duplicate or irrelevant, then they will be ignored by search engines in their snippets.","Update duplicate meta descriptions as necessary, so important pages contain a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Meta Description: Below 400 Pixels,Opportunity,Low,"Pages which have meta descriptions much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Meta Description: Below 70 Characters,Opportunity,Low,"Pages which have meta descriptions below the configured limit. This isn't strictly an issue, but an opportunity. There is additional room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Meta Description: Over 985 Pixels,Opportunity,Low,"Pages which have meta descriptions over Google's estimated pixel length limit for snippets. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently.","Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Meta Description: Over 155 Characters,Opportunity,Low,Pages which have meta descriptions over the configured limit. Characters over this limit might be truncated in Google's search results.,"Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.",default_config.seospiderconfig,Internal:All
Title tag is missing or empty,Error,"Meta tags, Indexability","A <title> tag is a key on-page SEO element. It appears in browsers and search results, and helps both search engines and users understand what your page is about.
If a page is missing a title, or a <title> tag is empty, Google may consider it low quality. In case you promote this page in search results, you will miss chances to rank high and gain a higher click-through rate.",Ensure that every page on your website has a unique and concise title containing your most important keywords.,Page Titles: Missing,Issue,High,"Pages which have a missing page title element, the content is empty, or has a whitespace.

Page titles are read and used by both users and the search engines to understand what a page is about.

They are important for SEO as page titles are used in rankings, and vital for user experience, as they are displayed in browsers, search engine results and on social networks.","It’s essential to write concise, descriptive and unique page titles on every indexable URL to help users, and enable search engines to score and rank the page for relevant search queries.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Page Titles: Multiple,Issue,High,Pages which have multiple page titles. There should only be a single page title element for each page. Multiple page titles are often caused by multiple conflicting plugins or modules in CMS.,"Remove the additional <title> tags from the pages HTML, ensuring the website has a single, concise and descriptive page title.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Page Titles: Outside <head>,Issue,High,"Pages with a <title> element that is outside of the <head> element in the HTML. The page <title> should be within the <head> element, or search engines may ignore it. Google will often still recognise the page title even outside of the <head> element, however this should not be relied upon.","Ensure the page <title> element is in the <head> element of a page's HTML so that browsers can use it at the top of their window, and search engines can use it in scoring.",default_config.seospiderconfig,Internal:All
Duplicate title tag,Error,"Meta tags, Duplicates, Indexability","Our crawler reports pages that have duplicate title tags only if they are exact matches.
Duplicate <title> tags make it difficult for search engines to determine which of a website's pages is relevant for a specific search query, and which one should be prioritized in search results. Pages with duplicate titles have a lower chance of ranking well and are at risk of being banned.
Moreover, identical <title> tags confuse users as to which webpage they should follow.",Provide a unique and concise title for each of your pages that contains your most important keywords.,Page Titles: Duplicate,Opportunity,Medium,"Pages which have duplicate page titles. It's really important to have distinct and unique page titles for every page. If every page has the same page title, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate page titles as necessary, so each page contains a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",default_config.seospiderconfig,Internal:All
Title element is too long,Warnings,"Meta tags, Indexability",Most search engines truncate titles containing more than 70 characters. Incomplete and shortened titles look unappealing to users and won't entice them to click on your page.,Try to rewrite your page titles to be 70 characters or less.,Page Titles: Over 60 Characters,Opportunity,Medium,Pages which have page titles that exceed the configured limit. Characters over this limit might be truncated in Google's search results and carry less weight in scoring.,"Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring.",default_config.seospiderconfig,Internal:All
Title element is too long,Warnings,"Meta tags, Indexability",Most search engines truncate titles containing more than 70 characters. Incomplete and shortened titles look unappealing to users and won't entice them to click on your page.,Try to rewrite your page titles to be 70 characters or less.,Page Titles: Over 561 Pixels,Opportunity,Medium,"Pages which have page titles over Google's estimated pixel length limit for titles in search results. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently.","Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring.",default_config.seospiderconfig,Internal:All
Title element is too short,Warnings,"Meta tags, Indexability","Generally, using short titles on webpages is a recommended practice. However, keep in mind that titles containing 10 characters or less do not provide enough information about what your webpage is about and limit your page's potential to show up in search results for different keywords.",Add more descriptive text inside your page's <title> tag.,Page Titles: Below 200 Pixels,Opportunity,Medium,"Pages which have page titles much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs.",Consider updating the page title to take advantage of the space left to include additional target keywords or USPs.,default_config.seospiderconfig,Internal:All
Title element is too short,Warnings,"Meta tags, Indexability","Generally, using short titles on webpages is a recommended practice. However, keep in mind that titles containing 10 characters or less do not provide enough information about what your webpage is about and limit your page's potential to show up in search results for different keywords.",Add more descriptive text inside your page's <title> tag.,Page Titles: Below 30 Characters,Opportunity,Medium,"Pages which have page titles under the configured limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs.",Consider updating the page title to take advantage of the space left to include additional target keywords or USPs.,default_config.seospiderconfig,Internal:All
Duplicate content in h1 and title,Warnings,"Meta tags, Duplicates, Indexability","It is a bad idea to duplicate your title tag content in your first-level header. If your page's <title> and <h1> tags match, the latter may appear over-optimized to search engines.
Also, using the same content in titles and headers means a lost opportunity to incorporate other relevant keywords for your page.",Try to create different content for your <title> and <h1> tags.,Page Titles: Same as H1,Opportunity,Low,"Page titles which match the h1 on the page exactly. This is not necessarily an issue, but may point to a potential opportunity to target alternative keywords, synonyms, or related key phrases.","This is not necessarily an issue, but may point to a potential opportunity to target alternative keywords, synonyms, or related key phrases.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Response Codes: Internal No Response,Issue,High,"Internal URLs with no response returned from the server. Usually due to a malformed URL, connection timeout, connection error, or connection refused. View URLs that link to no responses using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > No Response inlinks'.","Malformed URLs should be updated to the correct location and other connection issues can often be resolved by using different user-agents ('Config > User-Agent'), adjusting the crawl speed ('Config > Speed') or disabling firewalls & proxies.",default_config.seospiderconfig,Internal:All
4xx errors,Error,"HTTP Status, Crawlability","A 4xx error means that a webpage cannot be accessed. This is usually the result of broken links. These errors prevent users and search engine robots from accessing your webpages, and can negatively affect both user experience and search engine crawlability. This will in turn lead to a drop in traffic driven to your website. Please be aware that crawler may detect a working link as broken if your website blocks our crawler from accessing it. This usually happens due to the following reasons:
- DDoS protection system
- Overloaded or misconfigured server","If a webpage returns an error, remove all links leading to the error page or replace it with another resource.
To identify all pages on your website that contain links to a 4xx page, click ""View broken links"" next to the error page.
If the links reported as 4xx do work when accessed with a browser, you can try either of the following:
- Contact your web hosting support team
- Instruct search engine robots not to crawl your website too frequently by specifying the ""crawl-delay"" directive in your robots.txt",Response Codes: Internal Client Error (4xx),Issue,High,"Internal URLs with a client-side error. This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more. A 404 'Page Not Found' is the most common, and often referred to as a broken link. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Client Error (4xx) inlinks'.","All links on a website should ideally resolve to 200 'OK' URLs. Errors such as a 404 or 410 should be updated to their correct locations, removed and redirected where appropriate. A 403 forbidden error occurs when a web server denies access to the SEO Spider's request and can often be resolved by switching the user-agent to Chrome via 'Config > User-Agent' and crawling again.",default_config.seospiderconfig,Internal:All
5xx errors,Error,"HTTP Status, Crawlability","5xx errors refer to problems with a server being unable to perform the request from a user or a crawler. They prevent users and search engine robots from accessing your webpages, and can negatively affect user experience and search engines' crawlability. This will in turn lead to a drop in traffic driven to your website.",Investigate the causes of these errors and fix them.,Response Codes: Internal Server Error (5xx),Issue,High,"Internal URLs where the server failed to fulfill an apparently valid request. This can include common responses such as 500 Internal Server Errors, and 503 Service Unavailable. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Server Error (5xx) inlinks'.","All URLs should respond with a 200 'OK' status and this might indicate a server that struggles under load, or a misconfiguration that requires investigation. Check 500 internal server errors exist in a browser and fix any valid issues. For 503 errors, lower the crawl speed ('Config > Speed') to reduce load on the server and retry URLs via right click 'Re-Spider'.",default_config.seospiderconfig,Internal:All
Redirect chains and loops,Error,"HTTP Status, Crawlability","Redirecting one URL to another is appropriate in many situations. However, if redirects are done incorrectly, it can lead to disastrous results. Two common examples of improper redirect usage are redirect chains and loops.

Long redirect chains and infinite loops lead to a number of problems that can damage your SEO efforts. They make it difficult for search engines to crawl your site, which affects your crawl budget usage and how well your webpages are indexed, slows down your site's load speed, and, as a result, may have a negative impact on your rankings and user experience.

Please note that if you can’t spot a redirect chain with your browser, but it is reported in your Site Audit report, your website probably responds to crawlers’ and browsers’ requests differently, and you still need to fix the issue.","The best way to avoid any issues is to follow one general rule: do not use more than three redirects in a chain.

If you are already experiencing issues with long redirect chains or loops, we recommend that you redirect each URL in the chain to your final destination page.

We do not recommend that you simply remove redirects for intermediate pages as there can be other links pointing to your removed URLs, and, as a result, you may end up with 404 errors.",Response Codes: Internal Redirect Loop,Error,High,"Internal URLs that redirect to another URL, which also then redirects. This can occur multiple times in a row, each redirect is referred to as a ‘hop’.","Ideally all internal links would be to canonical resolving URLs, and avoid linking to URLs that redirect.

Any URL that redirects should reference the final destination, rather than taking multiple ‘hops’ to get there to reduce latency for users, and enhanced efficiency for search engines.

This final URL should ideally resolve to a 200 ‘OK’ status.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Response Codes: Internal Blocked by Robots.txt,Warnings,High,Internal URLs blocked by the site's robots.txt. This means they cannot be crawled and is a critical issue if you want the page content to be crawled and indexed by search engines. View URLs that link to URLs blocked by robots.txt using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Blocked by Robots.txt inlinks'.,"Review URLs to ensure they should be disallowed. If they are incorrectly disallowed, then the site's robots.txt should be updated to allow them to be crawled. Consider whether you should be linking internally to these URLs and remove links where appropriate.",default_config.seospiderconfig,Internal:All
Redirect chains and loops,Error,"HTTP Status, Crawlability","Redirecting one URL to another is appropriate in many situations. However, if redirects are done incorrectly, it can lead to disastrous results. Two common examples of improper redirect usage are redirect chains and loops.

Long redirect chains and infinite loops lead to a number of problems that can damage your SEO efforts. They make it difficult for search engines to crawl your site, which affects your crawl budget usage and how well your webpages are indexed, slows down your site's load speed, and, as a result, may have a negative impact on your rankings and user experience.

Please note that if you can’t spot a redirect chain with your browser, but it is reported in your Site Audit report, your website probably responds to crawlers’ and browsers’ requests differently, and you still need to fix the issue.","The best way to avoid any issues is to follow one general rule: do not use more than three redirects in a chain.

If you are already experiencing issues with long redirect chains or loops, we recommend that you redirect each URL in the chain to your final destination page.

We do not recommend that you simply remove redirects for intermediate pages as there can be other links pointing to your removed URLs, and, as a result, you may end up with 404 errors.",Response Codes: Internal Redirect Chain,Warnings,Medium,"Internal URLs that redirect to another URL, which also then redirects. This can occur multiple times in a row, each redirect is referred to as a 'hop'. Full redirect chains can be viewed and exported via 'Reports > Redirects > Redirect Chains'.","Ideally all internal links would be to canonical resolving URLs, and avoid linking to URLs that redirect. Any URL that redirects should reference the final destination, rather than taking multiple 'hops' to get there to reduce latency for users, and enhanced efficiency for search engines. This final URL should ideally resolve to a 200 'OK' status.",default_config.seospiderconfig,Internal:All
Disallowed internal resources,Warnings,Crawlability,"Blocked resources are resources (e.g., CSS, JavaScript, image files, etc.) that are blocked from crawling by a ""Disallow"" directive in your robots.txt file. By disallowing these files, you're preventing search engines from accessing them and, as a result, properly rendering and indexing your webpages. This, in return, may lead to lower rankings.","To unblock a resource, simply update your robots.txt file.",Response Codes: Internal Blocked Resource,Warnings,High,"Internal resources (such as images, JavaScript and CSS) that are blocked from rendering by robots.txt or an error. This filter will only populate when JavaScript rendering is enabled (blocked resources will appear under 'Blocked by Robots.txt' in default 'text only' crawl mode). This can be an issue as the search engines might not be able to access critical resources to be able to render pages accurately. Blocked resources can be viewed by URL in the 'Rendered Page' tab, and any pages with blocked resources can be viewed under 'JavaScript > Pages with Blocked Resources'.",Update the robots.txt and resolve any errors to allow all critical resources to be crawled and used for rendering of website content.,default_config.seospiderconfig,Internal:All
Disallowed external resources,Notices,Crawlability,"Blocked external resources are resources (e.g., CSS, JavaScript, image files, etc.) that are hosted on an external website and blocked from crawling by a ""Disallow"" directive in an external robots.txt file. Disallowing these files may prevent search engines from accessing them and, as a result, properly rendering and indexing your webpages. This, in return, may lead to lower rankings. ","If blocked resources that are hosted on an external website have a strong impact on your website, contact the website owner and ask them to edit their robots.txt file.
If blocked resources are not necessary for your site, simply ignore them.",Response Codes: External Blocked Resource,Warnings,Medium,"External resources (such as images, JavaScript and CSS) that are blocked from rendering by robots.txt or an error.

This can be an issue as the search engines might not be able to access critical resources to be able to render pages accurately.","If critical to your content, update the external subdomains robots.txt and resolve any errors to allow resources to be crawled and used for rendering of the websites content.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Response Codes: Internal Redirection (3xx),Warnings,Low,"Internal URLs which redirect to another URL. These will include server-side redirects, such as 301 or 302 redirects (and more). View URLs that link to redirects using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Redirection (3xx) inlinks'.","Ideally all internal links would be to canonical resolving URLs, and avoid linking to URLs that redirect. This reduces latency of redirect hops for users, and enhanced efficiency for search engines.",default_config.seospiderconfig,Internal:All
Meta refresh redirects,Error,Crawlability,"A meta refresh tag instructs a web browser to redirect a user to a different page after a given interval. Generally, it is recommended that you avoid using a meta refresh tag as it is considered a poor, slow and outdated technique that may lead to SEO and usability issues.","Review all pages with a meta refresh tag. If this tag is used to redirect an old page to a new one, replace it with a 301 redirect.",Response Codes: Internal Redirection (Meta Refresh),Warnings,Low,Internal URLs with a meta refresh. This is a client-side redirect which instructs the browser to ‘refresh’ to a URL with a specific time.,"Ideally server-side redirects should be used for redirection and all internal links would be to canonical resolving URLs, and avoid linking to URLs that redirect.

This reduces latency of redirect hops for users, and enhanced efficiency for search engines.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Response Codes: Internal Redirection (JavaScript),Warnings,Low,Internal URLs with a JavaScript redirect to another URL.,"Ideally all internal links would be to canonical resolving URLs, and avoid linking to URLs that redirect.

This reduces latency of redirect hops for users, and enhanced efficiency for search engines.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Response Codes: External No Response,Warnings,Low,"External URLs with no response returned from the server. Usually due to a malformed URL, connection timeout, connection error, or connection refused.","Malformed URLs often respond with ‘DNS Lookup Failed’ and won’t resolve at all in a browser. They should be updated to the correct location.

Other connection issues should be checked in a browser, as they might be due to security identifying the SEO Spider request as a bot. They can often be ignored or resolved by using different user-agents (‘Config > User-Agent’), adjusting the crawl speed (‘Config > Speed’), disabling firewalls & proxies or adding your IP address to security platform allowlists.
",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Response Codes: External Client Error (4XX),Warnings,Low,"External URLs with a client-side error.

This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more.

A 404 ‘Page Not Found’ is the most common, and often referred to as a broken link.","All links on a website should ideally resolve to 200 ‘OK’ URLs.

Errors such as 404 broken links should be updated so users are taken to the correct URL, or removed.

A 403 forbidden error is also common on the web today and occurs when a web server denies access to the SEO Spider’s request. This isn’t usually an issue for users if accessible in a browser, and can be ignored.

A 403 error can often be resolved by switching the user-agent to Chrome via ‘Config > User-Agent’ and crawling again.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Response Codes: External Server Error (5XX),Warnings,Low,External URLs where the server failed to fulfill an apparently valid request. This can include common responses such as 500 Internal Server Errors and 503 Service Unavailable.,"All external URLs should ideally respond with a 200 ‘OK’ status for users. A 5XX response might indicate a server that struggles under load, or a misconfiguration that leads to an error page.

If they can be viewed in a browser, then it’s often not an issue. If they error in a browser, then considering updating the external link as appropriate.",default_config.seospiderconfig,Internal:All
Permanent redirects,Notices,"HTTP Status, Crawlability","Although using permanent redirects (a 301 or 308 redirect) is appropriate in many situations (for example, when you move a website to a new domain, redirect users from a deleted page to a new one, or handle duplicate content issues), we recommend that you keep them to a reasonable minimum. Every time you redirect one of your website's pages, it decreases your crawl budget, which may run out before search engines can crawl the page you want to be indexed. Moreover, too many permanent redirects can be confusing to users.",Review all URLs with a permanent redirect. Change permanent redirects to a target page URL where possible.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Temporary redirects,Warnings,"HTTP Status, Crawlability","Temporary redirects (i.e., a 302 and a 307 redirect) mean that a page has been temporarily moved to a new location. Search engines will continue to index the redirected page, and no link juice or traffic is passed to the new page, which is why temporary redirects can damage your search rankings if used by mistake.","Review all URLs to make sure the use of 302 and 307 redirects is justified. If so, don’t forget to remove them when they are no longer needed. However, if you permanently move any page, replace a 302/307 redirect with a 301/308 one.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: HTTP URLs,Issue,High,"HTTP URLs that are encountered in the crawl. All websites should be secure over HTTPS today on the web. Not only is it important for security, but it's now expected by users. Chrome and other browsers display a 'Not Secure' message against any URLs that are HTTP, or have mixed content issues (where they load insecure resources on them). To view how these URLs were discovered, view their 'inlinks' in the lower window tab. You can also export any pages that link to HTTP URLs via 'Bulk Export > Security > HTTP URLs Inlinks'.","All URLs should be to secure HTTPS pages. Pages should be served over HTTPS, any internal links should be updated to HTTPS versions and HTTP URLs should 301 redirect to HTTPS versions. HTTP URLs identified in this filter that are redirecting to HTTPS versions already should be updated to link to the correct HTTPS versions directly.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Mixed Content,Issue,High,"HTML pages loaded over a secure HTTPS connection that have resources such as images, JavaScript or CSS that are loaded via an insecure HTTP connection.

Mixed content weakens HTTPS, and makes the pages easier for eavesdropping and compromising otherwise secure pages.

Browsers might automatically block the HTTP resources from loading, or they may attempt to upgrade them to HTTPS.","All HTTP resources should be changed to HTTPS to avoid security issues, and problems loading in a browser.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Form URL Insecure,Issue,High,"HTML pages that contain a form with an action attribute URL that is insecure (HTTP).

This means that any data entered into the form is not secure, as it could be viewed in transit.",All URLs contained within forms across a website should be encrypted and therefore need to be HTTPS.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Form On HTTP URL,Issue,High,"This indicates that a form is on an HTTP page. Any data entered into the form, including usernames and passwords is not secure.","All HTTP pages with forms should be changed to HTTPS to avoid security issues for users, and problems loading in a browser.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Missing HSTS Header,Warnings,Low,"URLs that are missing the HSTS response header. The HTTP Strict-Transport-Security response header (HSTS) instructs browsers that it should only be accessed using HTTPS, rather than HTTP. If a website accepts a connection to HTTP, before being redirected to HTTPS, visitors will initially still communicate over HTTP. The HSTS header instructs the browser to never load over HTTP and to automatically convert all requests to HTTPS.","The HSTS header should be used across all pages to instruct the browser that it should always request pages via HTTPS, rather than HTTP.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Unsafe Cross-Origin Links,Warnings,Low,"URLs that link to external websites using the target=""_blank"" attribute (to open in a new tab), without using rel=""noopener"" (or rel=""noreferrer"") at the same time. Using target=""_blank"" alone leaves those pages exposed to both security and performance issues for some legacy browsers, which are estimated to be below 5% of market share. Setting target=""_blank"" on <a> elements implicitly provides the same rel behavior as setting rel=""noopener"" which does not set window.opener for most modern browsers, such as Chrome, Safari, Firefox and Edge. The external links that contain the target=""_blank"" attribute by itself can be viewed in the 'outlinks' tab and 'target' column. They can be exported alongside the pages they are linked from via 'Bulk Export > Security > Unsafe Cross-Origin Links'.","Consider the benefits of including the rel=""noopener"" link attribute on any links that contain the target=""_blank"" attribute to avoid security and performance issues for the users of legacy browsers that may visit the website.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Protocol-Relative Resource Links,Warnings,Low,"URLs that load resources such as images, JavaScript and CSS using protocol-relative links. A protocol-relative link is simply a link to a URL without specifying the scheme (for example, //screamingfrog.co.uk). It helps save developers time from having to specify the protocol and lets the browser determine it based upon the current connection to the resource. However, this technique is now an anti-pattern with HTTPS everywhere, and can expose some sites to 'man in the middle' compromises and performance issues",Update any resource links to be absolute links including the scheme (HTTPS) to avoid security and performance issues.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Missing Content-Security-Policy Header,Warnings,Low,"URLs that are missing the Content-Security-Policy response header. This header allows a website to control which resources are loaded for a page. This policy can help guard against cross-site scripting (XSS) attacks that exploit the browser's trust of the content received from the server. The SEO Spider only checks for existence of the header, and does not interrogate the policies found within the header to determine whether they are well set-up for the website. This should be performed manually.",Set a strict Content-Security-Policy response header across all page to help mitigate cross site scripting (XSS) and data injection attacks.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Missing X-Content-Type-Options Header,Warnings,Low,"URLs that are missing the 'X-Content-Type-Options' response header with a 'nosniff' value. In the absence of a MIME type, browsers may 'sniff' to guess the content type to interpret it correctly for users. However, this can be exploited by attackers who can try and load malicious code, such as JavaScript via an image they have compromised.","To minimise security issues, the X-Content-Type-Options response header should be supplied and set to 'nosniff'. This instructs browsers to rely only on the Content-Type header and block anything that does not match accurately. This also means the content-type set needs to be accurate.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Missing X-Frame-Options Header,Warnings,Low,"URLs missing an X-Frame-Options response header with a 'DENY' or 'SAMEORIGIN' value. This instructs the browser not to render a page within a frame, iframe, embed or object. This helps avoid 'clickjacking' attacks, where your content is displayed on another web page that is controlled by an attacker.","To minimise security issues, the X-Frame-Options response header should be supplied with a 'DENY' or 'SAMEORIGIN' value.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Missing Secure Referrer-Policy Header,Warnings,Low,"URLs missing 'no-referrer-when-downgrade', 'strict-origin-when-cross-origin', 'no-referrer' or 'strict-origin' policies in the Referrer-Policy header. When using HTTPS, it's important that the URLs do not leak in non-HTTPS requests. This can expose users to 'man in the middle' attacks, as anyone on the network can view them.","Consider setting a referrer policy of strict-origin-when-cross-origin. It retains much of the referrer's usefulness, while mitigating the risk of leaking data cross-origins.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Security: Bad Content Type,Warnings,Low,"This indicates any URLs where the actual content type does not match the content type set in the header. It also identifies any invalid MIME types used. When the X-Content-Type-Options: nosniff response header is set by the server this is particularly important, as browsers rely on the content type header to correctly process the page. This can cause HTML web pages to be downloaded instead of being rendered when they are served with a MIME type other than text/html for example.","Analyse URLs identified with a bad content type, and set an accurate MIME type in the content-type header.",default_config.seospiderconfig,Internal:All
HTTPS encryption not used,Warnings,Security and HTTPS,"Google considers a website's security as a ranking factor. Websites that do not support HTTPS connections may be less prominent in Google's search results, while HTTPS-protected sites will rank higher with its search algorithms.",Switch your site to HTTPS.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Non-secure pages,Error,Security and HTTPS,"This issue is triggered if our crawler detects an HTTP page with a <input type=""password""> field.
Using a <input type=""password""> field on your HTTP page is harmful to user security, as there is a high risk that user login credentials can be stolen. To protect users' sensitive information from being compromised, Google Chrome will start informing users about the dangers of submitting their passwords on HTTP pages by labeling such pages as ""non-secure"" starting January 2017. This could have a negative impact on your bounce rate, as users will most likely feel uncomfortable and leave your page as quickly as possible.",Move your HTTP webpages that contain a password field to HTTPS.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
issues with expiring or expired certificate,Error,Security and HTTPS,"This issue is triggered if your certificate has expired or will expire soon.
If you allow your certificate to expire, users accessing your website will be presented with a Warnings message, which usually stops them from going further and may lead to a drop in your organic search traffic.",Ask your website administrator to renew the certificate and run periodic checks to avoid any future issues.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
